HGNC approved symbol	HGNC approved name	UniProt ID (human)	Pfam domains	UniProt ID (mouse)	Function	Modification	Protein complex	Target entity	Product
A1CF	APOBEC1 complementation factor	A1CF_HUMAN	RRM_1 PF00076 58-126 138-199 233-297, DND1_DSRM PF14709 447-522	A1CF_MOUSE	RNA modification	RNA deamination	APOB_mRNA_editosome	mRNA, mC	U
ACINU	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	ACINU_HUMAN	SAP PF02037 72-106, RSB_motif PF16294 1171-1247	ACINU_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
ACTB	actin, beta	ACTB_HUMAN	Actin PF00022 4-375	ACTB_MOUSE	Chromatin remodeling cofactor	#	BAF, nBAF, npBAF, PBAF, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1, NuA4, NuA4-related complex	#	#
ACTL6A	actin-like 6A	ACL6A_HUMAN	Actin PF00022 10-428	ACL6A_MOUSE	Chromatin remodeling cofactor	#	BAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1, Ino80, NuA4, NuA4-related complex, SRCAP	#	#
ACTL6B	actin-like 6B	ACL6B_HUMAN	Actin PF00022 9-425	ACL6B_MOUSE	Chromatin remodeling cofactor	#	BAF, nBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF BRM-BRG1	#	#
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	ARP3B_HUMAN	Actin PF00022 5-237	ARP3B_MOUSE	Chromatin remodeling	#	#	H2A, H3, H4	#
ACTR5	ARP5 actin-related protein 5 homolog (yeast)	ARP5_HUMAN	Actin PF00022 32-230 427-567	ARP5_MOUSE	Chromatin remodeling	#	Ino80	#	#
ACTR6	ARP6 actin-related protein 6 homolog (yeast)	ARP6_HUMAN	Actin PF00022 2-394	ARP6_MOUSE	Chromatin remodeling cofactor	#	SRCAP	#	#
ACTR8	ARP8 actin-related protein 8 homolog (yeast)	ARP8_HUMAN	Actin PF00022 48-325 506-619	ARP8_MOUSE	Histone modification read	#	Ino80	#	#
ADNP	activity-dependent neuroprotector homeobox	ADNP_HUMAN	ADNP_N PF19627 3-755, Homeodomain PF00046 770-810	ADNP_MOUSE	Chromatin remodeling cofactor	#	#	#	#
